"Data Source","World Development Indicators",

"Last Updated Date","2021-03-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","15669.6160398263","18427.6115299095","22134.0172712515","24837.9509579621","25357.7869437251","26329.3131412118","26401.9687400419","26663.2077602359","27272.3100411519","26705.1813209964","26087.7756610939","27190.5014747821","27151.9237278694","26954.404887031","28417.3842120132","26966.0548644166","25508.3027198476","25469.2876015726","27005.5294296216","26979.8853984373","27046.224230202","27427.5785719272","27365.9311941508","24463.6921995023","23512.6025956397","24233.0010815022","23781.2572983852","24635.764947531","24563.2343250816","25822.2513745534","26231.0266768348","26630.2052807325","","","",
"Afghanistan","AFG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","330.303552908057","343.080889714587","333.216684486798","357.234719908026","365.284494951006","405.548979051796","412.014286663305","488.300250990155","543.303041863931","528.736648057768","576.190125450699","587.565090150175","583.656192833123","574.184114271259","571.07377452356","571.440690906349","564.609991742901","573.287551042738","",
"Angola","AGO","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","3193.40386146031","2947.19411234777","2844.32188041471","2859.91920641002","2925.36676659462","2922.21685478586","2902.61784962511","2916.79393491043","2989.61658586719","2889.88585921143","2697.49077823593","2635.15554951792","2401.23365594738","1767.02533535","1733.84384399231","1930.79950949125","2122.96845868156","2205.29400017451","2235.39017194206","2211.12993969616","2205.20533780581","2223.33463308956","2444.41778235176","2433.86155040755","2608.7840447081","2896.55472912948","3116.18103865483","3424.37170191088","3668.07989214814","3565.05693638622","3587.88379824396","3579.95990738589","3748.45065461021","3796.88218936433","3843.19787714916","3748.32011771476","3530.31067153378","3409.93030259958","3233.90623484048","3111.15769874335","",
"Albania","ALB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1992.29193141135","2064.98366201803","2081.41762946956","2060.25372979627","1992.11089530965","1986.32191372469","2058.12060889689","2001.53265726801","1936.2322073095","2070.28951506789","1838.66748471688","1331.80531341432","1243.60582446625","1370.82607057959","1493.78590178292","1703.28184475531","1869.86587314624","1676.12710708271","1835.6466813013","2085.42599716821","2244.62463172571","2453.62441365203","2572.72143217486","2725.17138911963","2887.37034243453","3062.67388299547","3263.90171311883","3485.32240934607","3775.58131429173","3928.45039149695","4094.3503344202","4209.87480089435","4276.60790388367","4327.37995998728","4413.29689127908","4524.3730858712","4681.82656299266","4864.31061630449","5074.85722194352","5210.68829038413","",
"Andorra","AND","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","41701.5444268705","41449.7985565243","42605.7949944759","43744.396232266","44186.4290832146","42711.4745829757","42634.0917910764","42514.4209587348","41901.2714300987","40617.2283412736","40076.7104991884","38494.1831759067","37365.7752340516","36396.0078557637","35450.3115567374","34732.872913185","34384.9106439106","34840.7420976256","35178.8672109271","35460.8900418109","35410.3176062566","34926.5667828861","33923.9841131311","32427.0466237806","32296.1802412276","32577.0673618283","33821.6667720915","36907.4285929324","38196.3937249671","39621.2565388614","40379.390206452","42393.0818204197","42607.056937381","44328.7604494183","46010.1013427567","46880.8061047792","47845.400420286","47594.8281439041","44317.5502434378","41668.8373600629","40852.6667774434","41191.7854116591","39769.5614582283","39143.6896810315","40914.7285238633","42140.9617984695","44107.9563309965","44430.7440094935","45133.7136149095","45887.3021264552","",
"Arab World","ARB","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","4069.29706657125","4565.94641927511","4786.3381133601","4601.04077608879","4974.0526343136","5254.16730081613","5245.4324948427","4623.11851328074","4174.48328371861","4104.12045200896","3889.60858616919","3954.46370683489","3821.82075059212","3926.34563357885","3909.91531936399","4266.2360780366","4215.2855807567","4343.24818263543","4367.30186541724","4393.26199200571","4377.4566680337","4474.29596402499","4560.82653272493","4698.90059701862","4682.82969190953","4836.09530392798","4808.04638980802","4733.16686024951","4878.15154586759","5218.4621865787","5393.94029230816","5611.25410600898","5725.91471416968","5913.54227181057","5797.32713748938","5926.71296268116","6008.89692801383","6266.26881457638","6331.42558635702","6352.8055723166","6424.35820704436","6518.06325824662","6445.93377633857","6456.27832472536","6428.59338306899","",
"United Arab Emirates","ARE","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","103604.906761616","103766.654037947","109318.635675083","94683.6793247568","102668.63180644","116232.75297577","113095.337311238","99319.6142653997","89704.038671159","88583.3785405907","80886.4664441653","64972.4226048589","63352.2940320065","58146.7964800485","61588.0867298091","68780.5885485528","65478.7069202228","63853.890761015","61081.3715995434","61843.2137119288","62681.6090675803","63076.6064636338","64864.720318444","61773.8673566819","60291.5089875618","63251.5229870394","60861.2659986951","59187.2069291282","60351.1400473436","60328.3205264375","56092.9202185986","53335.0315740292","47283.9032785234","42456.7958854415","36024.0582294666","33893.303514039","34634.8621429885","35416.8917844949","36978.8330410358","38495.0463523453","40247.7471408685","41045.1111167209","41460.2834462501","41327.3827625282","41420.4830318379","",
"Argentina","ARG","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","5642.76513813328","5853.17190550128","5711.17933827409","5323.49430875299","5772.64996675286","6286.22934651492","6151.92602594926","6255.18402161641","6460.78745199298","6980.89917797887","7084.18147848151","7368.07758010525","7368.50576960671","7453.75355684331","7740.85592849079","7617.94315128736","7350.82856664979","7743.58231487359","7285.43955621042","7910.36662234598","7908.02261816432","7380.67498356137","7210.34702077923","7403.72720995174","7399.88911933586","6904.64504404204","7214.27070267463","7294.0642559909","7104.18120080539","6497.42554534223","6245.70857662189","6721.27823910953","7157.32831119985","7644.23569200433","7988.64461361092","7666.53000424516","7994.24337081722","8543.02853403286","8772.06320960578","8381.25399829498","8224.11282651363","7776.13787206685","6854.29408086406","7380.4670873289","7962.41230916816","8577.86499429459","9174.50245831662","9901.51188115634","10201.4759370923","9502.24358504659","10385.9644319555","10883.315359489","10649.8372874572","10784.6306992057","10398.6940069464","10568.1578087083","10239.4813479933","10419.455405282","10049.5552392518","9742.45541691587","",
"Armenia","ARM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1795.28422592181","1600.12074399001","948.16030610925","885.21698588821","955.591035074987","1042.58347165244","1120.84988485824","1171.05993766849","1266.41072718467","1316.53041801029","1403.03125696524","1547.2509642915","1761.134046303","2018.36748635553","2243.08895410682","2571.54737412585","2933.58637163606","3364.70574241821","3627.79670234564","3137.34609774329","3218.37270660563","3370.55110335811","3603.59584817544","3705.35739637697","3819.21778720313","3923.71650211228","3917.37967561964","4198.79474869834","4406.70643384286","4732.06950610049","",
"American Samoa","ASM","GDP per capita (constant 2010 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10551.212572216","10561.3156869179","10586.6823368619","10565.2319198874","10202.9553063961","10535.5519401488","10416.0057817659","10117.0113625969","10271.2245225485","10360.5091546826","9921.80610804858","9640.34446203249","9717.82905631836","9850.56503409338","9589.9798367323","9048.18252237097","9271.71200951825","","",
