year	metric1	metric2	corrcoef
1962	fitness_year	fitness_year	1.0
1962	fitness_year	fitness_v2	0.954643308168415
1962	fitness_year	eci_year	0.6549135765929365
1962	fitness_year	kc	0.838295358746049
1962	fitness_year	xc1	0.9139648548438204
1962	fitness_year	xc2	0.7602410828285017
1962	fitness_year	genepy	0.9776788413617005
1962	fitness_year	ability	0.5705360113098761
1962	fitness_year	fe	0.15851795858140433
1962	fitness_year	hc	0.6219317254875679
1962	fitness_year	avgrca_p	0.5906750606794416
1962	fitness_year	avgrca_m	0.7783122008168862
1962	fitness_year	avgrca_c	0.7540169036965055
1962	fitness_year	proj_p	0.5957379591659939
1962	fitness_year	proj_m	0.5199472253187111
1962	fitness_year	proj_c	0.6405357202030582
1962	fitness_year	eci	0.6549135765929366
1962	fitness_year	bin	0.4819380510820793
1962	fitness_year	x1d	0.9842878833003076
1962	fitness_year	x2divsqrtd	0.7571411736853405
1962	fitness_v2	fitness_year	0.954643308168415
1962	fitness_v2	fitness_v2	1.0
1962	fitness_v2	eci_year	0.7745673621940589
1962	fitness_v2	kc	0.9415861096748548
1962	fitness_v2	xc1	0.9637935449210874
1962	fitness_v2	xc2	0.6342890147195894
1962	fitness_v2	genepy	0.9428333995961703
1962	fitness_v2	ability	0.7108230334623342
1962	fitness_v2	fe	0.1811773116631168
1962	fitness_v2	hc	0.7597600899201564
1962	fitness_v2	avgrca_p	0.7342288037327959
1962	fitness_v2	avgrca_m	0.9046561486946623
1962	fitness_v2	avgrca_c	0.8798937434562354
1962	fitness_v2	proj_p	0.7243093761596364
1962	fitness_v2	proj_m	0.6381789823555982
1962	fitness_v2	proj_c	0.7573419288928618
1962	fitness_v2	eci	0.7745673621940585
1962	fitness_v2	bin	0.5937183955032862
1962	fitness_v2	x1d	0.9903548850414814
1962	fitness_v2	x2divsqrtd	0.7360995554746821
1962	eci_year	fitness_year	0.6549135765929365
1962	eci_year	fitness_v2	0.7745673621940589
1962	eci_year	eci_year	1.0
1962	eci_year	kc	0.7790220928716999
1962	eci_year	xc1	0.862988724701376
1962	eci_year	xc2	0.3275179481923358
1962	eci_year	genepy	0.7054639661074564
1962	eci_year	ability	0.8420236677829442
1962	eci_year	fe	0.33261514268178083
1962	eci_year	hc	0.7079294481022632
1962	eci_year	avgrca_p	0.675344845565167
1962	eci_year	avgrca_m	0.8148394946539564
1962	eci_year	avgrca_c	0.7854060537077011
1962	eci_year	proj_p	0.9506060600651773
1962	eci_year	proj_m	0.8473786209213741
1962	eci_year	proj_c	0.8764231541567918
1962	eci_year	eci	1.0
1962	eci_year	bin	0.5404640296454192
1962	eci_year	x1d	0.7148553634450772
1962	eci_year	x2divsqrtd	0.5287257545429177
1962	kc	fitness_year	0.838295358746049
1962	kc	fitness_v2	0.9415861096748548
1962	kc	eci_year	0.7790220928716999
1962	kc	kc	1.0
1962	kc	xc1	0.9031304657868328
1962	kc	xc2	0.4051571317609247
1962	kc	genepy	0.8144966959706584
1962	kc	ability	0.8468182282377855
1962	kc	fe	0.1082902014832529
1962	kc	hc	0.9046676951841363
1962	kc	avgrca_p	0.9087446932500666
1962	kc	avgrca_m	0.9772650060719364
1962	kc	avgrca_c	0.974532577936152
1962	kc	proj_p	0.7440864588520215
1962	kc	proj_m	0.6770175075447933
1962	kc	proj_c	0.7681917962434387
1962	kc	eci	0.7790220928717005
1962	kc	bin	0.7540856309050973
1962	kc	x1d	0.9059912926689326
1962	kc	x2divsqrtd	0.6312245028648364
1962	xc1	fitness_year	0.9139648548438204
1962	xc1	fitness_v2	0.9637935449210874
1962	xc1	eci_year	0.862988724701376
1962	xc1	kc	0.9031304657868328
1962	xc1	xc1	1.0
1962	xc1	xc2	0.6291163006861972
1962	xc1	genepy	0.9426707351212984
1962	xc1	ability	0.7677185716842777
1962	xc1	fe	0.21194115077444942
1962	xc1	hc	0.7654958035173898
1962	xc1	avgrca_p	0.7161793729330956
1962	xc1	avgrca_m	0.8975282761195652
1962	xc1	avgrca_c	0.8686248627919492
1962	xc1	proj_p	0.8188921465248433
1962	xc1	proj_m	0.7259720100880903
1962	xc1	proj_c	0.844139098111796
1962	xc1	eci	0.8629887247013764
1962	xc1	bin	0.5868892316692296
1962	xc1	x1d	0.9426364462848537
1962	xc1	x2divsqrtd	0.763097538304994
1962	xc2	fitness_year	0.7602410828285017
1962	xc2	fitness_v2	0.6342890147195894
1962	xc2	eci_year	0.3275179481923358
1962	xc2	kc	0.4051571317609247
1962	xc2	xc1	0.6291163006861972
1962	xc2	xc2	1.0
1962	xc2	genepy	0.7524259697431632
1962	xc2	ability	0.08153808603428774
1962	xc2	fe	0.26201239140269966
1962	xc2	hc	0.14508576177419483
1962	xc2	avgrca_p	0.09269955212186132
1962	xc2	avgrca_m	0.3462861791477524
1962	xc2	avgrca_c	0.2981084474795094
1962	xc2	proj_p	0.26801413629636556
1962	xc2	proj_m	0.2119073067784395
1962	xc2	proj_c	0.3690311436538585
1962	xc2	eci	0.32751794819233593
1962	xc2	bin	-0.017987207586431388
1962	xc2	x1d	0.6934136355843358
1962	xc2	x2divsqrtd	0.8678327012626973
1962	genepy	fitness_year	0.9776788413617005
