region	label
ABW	taxhaven
AFG	ldc
AGO	ldc
AIA	taxhaven
ALB	other
AND	taxhaven
ANS	other
ANT	taxhaven
ARE	resource
ARG	other
ARM	other
ASM	taxhaven
ATA	other
ATF	other
ATG	taxhaven
AUS	oecd
AUT	oecd
AZE	resource
BDI	ldc
BEL	oecd
BEN	ldc
BES	other
BFA	ldc
BGD	ldc
BGR	other
BHR	taxhaven
BHS	taxhaven
BIH	other
BLM	other
BLR	other
BLZ	taxhaven
BMU	taxhaven
BOL	other
BRA	other
BRB	other
BRN	resource
BTN	ldc
BVT	other
BWA	other
CAF	ldc
CAN	oecd
CCK	other
CHE	oecd
CHL	oecd
CHN	other
CIV	other
CMR	resource
COD	ldc
COG	resource
COK	taxhaven
COL	oecd
COM	ldc
CPV	other
CRI	oecd
CSK	other
CUB	other
CUW	taxhaven
CXR	other
CYM	taxhaven
CYP	taxhaven
CZE	oecd
DEU	oecd
DJI	ldc
DMA	taxhaven
DNK	oecd
DOM	other
DZA	resource
ECU	resource
EGY	other
ERI	ldc
ESH	other
ESP	oecd
EST	oecd
ETH	ldc
FIN	oecd
FJI	other
FLK	other
FRA	oecd
FRO	other
FSM	taxhaven
GAB	resource
GBR	oecd
GEO	other
GHA	resource
GIB	taxhaven
GIN	ldc
GLP	other
GMB	ldc
GNB	ldc
GNQ	resource
GRC	oecd
GRD	taxhaven
GRL	other
GTM	other
GUF	other
GUM	other
GUY	other
HKG	taxhaven
HMD	other
HND	other
HRV	other
HTI	ldc
HUN	oecd
IDN	other
IND	other
IOT	other
IRL	oecd
IRN	other
IRQ	resource
ISL	oecd
ISR	oecd
ITA	oecd
JAM	other
JOR	taxhaven
JPN	oecd
KAZ	resource
KEN	other
KGZ	other
KHM	ldc
KIR	ldc
KNA	taxhaven
KOR	oecd
KWT	resource
LAO	ldc
LBN	taxhaven
LBR	ldc
LBY	resource
LCA	taxhaven
LKA	other
LSO	ldc
LTU	oecd
LUX	oecd
LVA	oecd
MAC	taxhaven
MAR	other
MDA	other
MDG	ldc
MDV	taxhaven
MEX	oecd
MHL	taxhaven
MKD	other
MLI	ldc
MLT	taxhaven
MMR	ldc
MNE	other
MNG	resource
MNP	other
MOZ	ldc
MRT	ldc
MSR	taxhaven
MTQ	other
MUS	taxhaven
MWI	ldc
MYS	resource
MYT	other
NAM	other
NCL	other
NER	ldc
NFK	other
NGA	resource
NIC	other
NIU	taxhaven
NLD	oecd
NOR	oecd
NPL	ldc
NRU	taxhaven
NZL	oecd
OMN	resource
PAK	other
PAN	taxhaven
PCI	other
PCN	other
PCZ	other
PER	other
PHL	other
PLW	other
PNG	resource
POL	oecd
PRK	other
PRT	oecd
PRY	other
PSE	other
PYF	other
QAT	resource
REU	other
ROU	other
RUS	resource
RWA	ldc
SAU	resource
SCG	other
SDN	ldc
SEN	ldc
SGP	taxhaven
SGS	other
SHN	other
SLB	ldc
SLE	ldc
SLV	other
SMR	taxhaven
SOM	ldc
SPM	other
SRB	other
SSD	ldc
STP	ldc
SUR	resource
SVK	oecd
SVN	oecd
SWE	oecd
SWZ	other
SXM	other
SYC	taxhaven
SYR	other
TCA	taxhaven
TCD	ldc
TGO	ldc
THA	other
TJK	other
TKL	other
TKM	other
TLS	ldc
TON	taxhaven
TTO	resource
TUN	other
TUR	oecd
TUV	ldc
TWN	other
TZA	ldc
UGA	ldc
UKR	other
UMI	other
URY	other
USA	oecd
UZB	resource
VAT	other
VCT	taxhaven
VDR	other
VEN	other
VGB	taxhaven
VIR	other
VNM	other
VUT	taxhaven
WLF	other
WSM	taxhaven
YEM	ldc
YMD	other
YUG	other
ZAF	other
ZMB	ldc
ZWE	other
