sitc3d	color	prodname	x	y	pci
001	#ffe999	001 - Live animals chiefly for food	293.7192	-308.13412	-0.05805517916944894
011	#ffe999	011 - Meat and edible meat offal, fresh, chilled or frozen (except meat and meat offals unfit or unsuitable for human consumption)	246.37567	-276.45078	-0.04727380890414065
012	#ffe999	012 - Meat and edible meat offals (except poultry liver), salted, in brine, dried, or smoked	-171.69429	-207.94963	0.004117403409092526
014	#ffe999	014 - Meat and edible meat offal, prepared, preserved, n.e.s.; fish extracts	486.57565	326.09528	-0.03057873001982961
022	#ffe999	022 - Milk and cream	128.09341	-194.47026	0.04586943491046728
023	#ffe999	023 - Butter	147.09413	-224.09998	-0.0090861196268204
024	#ffe999	024 - Cheese and curd	45.303486	-147.95157	0.030562732104673772
025	#ffe999	025 - Eggs, birds', and egg yolks, fresh, dried or otherwise preserved, sweetened or not	393.87753	8.010633	-0.010878897657472323
034	#ffe999	034 - Fish, fresh (live or dead), chilled or frozen	549.4062	347.27173	-0.045177195918544376
035	#ffe999	035 - Fish, dried, salted or in brine; smoked fish (whether or not cooked before or during the smoking process)	306.1819	-341.32483	-0.04598942529286517
036	#ffe999	036 - Crustaceans and molluscs, whether in shell or not, fresh (live or dead), chilled, frozen, salted, in brine or dried; crustaceans, in shell, simply boiled in water	662.3726	237.96036	-0.0581424422171303
037	#ffe999	037 - Fish, crustaceans and molluscs, prepared or preserved, n.e.s.	514.4037	348.32834	-0.04608806184496195
041	#ffe999	041 - Wheat (including spelt) and meslin, unmilled	-9.639834	-420.456	-0.03949574497179622
042	#ffe999	042 - Rice	328.22333	-299.25	-0.0583651982498236
043	#ffe999	043 - Barley, unmilled	-72.93695	-389.23068	-0.013876464264565113
044	#ffe999	044 - Maize (corn), unmilled	-180.7062	263.4496	-0.06938427011696548
045	#ffe999	045 - Cereals, unmilled (other than wheat, rice, barley and maize)	-43.93215	-409.36426	-0.02624400149146047
046	#ffe999	046 - Meal and flour of wheat and flour of meslin	-207.52509	-213.77571	0.020245179473516898
047	#ffe999	047 - Other cereal meals and flours	-179.97836	227.61699	-0.025575395926164812
048	#ffe999	048 - Cereal preparations and preparations of flour or starch of fruits or vegetables	236.35336	8.681674	0.006224373114637178
054	#ffe999	054 - Vegetables, fresh, chilled, frozen or slmply preserved (including dried leguminous vegetables); roots, tubers and other edible vegetable products, n.e.s., fresh or dried	429.09448	283.20776	-0.03703274842284495
056	#ffe999	056 - Vegetables, roots and tubers, prepared or preserved, n.e.s.	344.67535	275.06223	-0.00691114245745452
057	#ffe999	057 - Fruit and nuts (not including oil nuts), fresh or dried	655.22156	285.3303	-0.06927139282160373
058	#ffe999	058 - Fruit, preserved, and fruits preparations	380.5978	265.15695	-0.019199085317627162
061	#ffe999	061 - Sugar and honey	686.05536	264.4695	-0.0641990206117606
062	#ffe999	062 - Sugar confectionery (except chocolate confectionery) and other sugar preparations	111.54494	21.488806	0.04189553348061851
071	#ffe999	071 - Coffee and coffee substitutes	596.39514	400.85516	-0.11787201102826547
072	#ffe999	072 - Cocoa	162.44139	478.08765	-0.10751146102755851
073	#ffe999	073 - Chocolate and other food preparations containing cocoa, n.e.s.	-262.09183	-184.93904	0.07403886173934962
074	#ffe999	074 - Tea and maté	138.41566	218.77052	-0.09102162898941704
075	#ffe999	075 - Spices	659.07153	358.92477	-0.08382035909748603
081	#ffe999	081 - Feeding stuff for animals (not including unmilled cereals)	615.8512	369.02295	-0.08673114003314647
091	#ffe999	091 - Margarine and shortening	-45.50069	-444.85693	0.030458881278985543
098	#ffe999	098 - Edible products and preparations, n.e.s.	449.00934	314.69574	-0.018964202904138572
111	#6e451e	111 - Non-alcoholic beverages, n.e.s.	-109.55663	320.16272	-0.004710087873344101
112	#6e451e	112 - Alcoholic beverages	425.4129	344.99475	-0.014860789846885531
121	#6e451e	121 - Tobacco unmanufactured; tobacco refuse	534.52844	3.7425566	-0.08301381699877747
122	#6e451e	122 - Tobacco, manufactured	-85.955505	373.6332	-0.004082516035493059
211	#d66011	211 - Hides and skins (except furskins), raw	584.9661	350.55997	-0.08585717386312708
212	#d66011	212 - Furskins, raw (including astrakhan, caracul, Persian lamb, broadtail and similar skins)	427.5205	-2.7300653	-0.029592690997952156
222	#d66011	222 - Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of 'soft' fixed vegetable oils (excluding flours and meals)	643.34625	425.789	-0.09669362977862966
223	#d66011	223 - Oil seeds and oleaginous fruit, whole or broken, of a kind used for the extraction of other fixed vegetable oils (including non-defatted flours and meals of oil seeds and oleaginous fruit)	694.53973	329.88632	-0.11229456785229823
232	#d66011	232 - Natural rubber latex; natural rubber and similar natural gums	-103.367325	174.69699	-0.10500384761730666
233	#d66011	233 - Synthetic rubber latex; synthetic rubber and reclaimed rubber; waste and scrap of unhardened rubber	-555.0968	-26.842873	0.017310726098792185
244	#d66011	244 - Cork, natural, raw and waste (including natural cork in blocks or sheets)	476.93875	-176.89818	-0.02072693702956844
245	#d66011	245 - Fuel wood (excluding wood waste) and wood charcoal	462.96692	10.205593	-0.016107045725968615
246	#d66011	246 - Pulpwood (including chips and wood waste)	63.681366	352.2095	-0.0060280261244416615
247	#d66011	247 - Other wood in the rough or roughly squared	122.46863	456.46194	-0.09173477083879149
248	#d66011	248 - Wood, simply worked, and railway sleepers of wood	104.97166	423.64838	-0.06582506814041626
251	#d66011	251 - Pulp and waste paper	575.88403	-166.95172	0.011074695676587294
261	#d66011	261 - Silk	525.90894	-129.0578	-0.013722177588238552
263	#d66011	263 - Cotton	645.1261	390.2764	-0.11217206111009113
264	#d66011	264 - Jute and other textile bast fibres, n.e.s., raw or processed but not spun; tow and waste thereof (including pulled or garnetted rags or ropes)	169.70656	243.86111	-0.06290738644468885
265	#d66011	265 - Vegetable textile fibres (other than cotton and jute) and waste or such fibres	498.6454	2.4057345	-0.05664244524852285
266	#d66011	266 - Synthetic fibres suitable for spinning	-225.5418	-181.88898	0.0852867900242448
267	#d66011	267 - Other man-made fibres suitable for spinning and waste of man-made fibres	-257.00635	-82.00027	0.08300274514763206
268	#d66011	268 - Wool and other animal hair (excluding wool tops)	88.60002	-10.906291	-0.07114759920841947
269	#d66011	269 - Old clothing and other old textile articles; rags	-361.50125	56.04844	0.045046441183940585
271	#d66011	271 - Fertilizers, crude	15.232807	-451.4385	-0.07171150489572677
273	#d66011	273 - Stone, sand and gravel	404.66135	313.9877	-0.00837847059641025
274	#d66011	274 - Sulphur and unroasted iron pyrites	459.80322	-146.64844	-0.005471007782124795
277	#d66011	277 - Natural abrasives, n.e.s. (including industrial diamonds)	-82.408676	444.97098	-0.06723921604878047
278	#d66011	278 - Other crude minerals	346.04422	-335.3739	-0.05254939378391756
281	#d66011	281 - Iron ore and concentrates	502.25912	380.1599	-0.04973118537612761
282	#d66011	282 - Waste and scrap metal of iron or steel	-237.18373	19.087687	0.008037618929547736
286	#d66011	286 - Ores and concentrates of uranium and thorium	602.58936	-143.08229	-0.07082372308946569
287	#d66011	287 - Ores and concentrates of base metals, n.e.s.	621.41315	268.87408	-0.08623858641916395
288	#d66011	288 - Non-ferrous base metal waste and scrap, n.e.s.	484.969	291.07953	-0.013600740353415335
289	#d66011	289 - Ores and concentrates of precious metals, waste, scrap and sweepings of precious metals (other than of gold)	-111.10712	-221.45702	-0.034494822700133654
291	#d66011	291 - Crude animal materials, n.e.s.	567.65173	313.54413	-0.053871072381790355
292	#d66011	292 - Crude vegetable materials, n.e.s.	620.7218	332.4423	-0.05908302388405616
322	#330000	322 - Coal, lignite and peat	-129.32602	-266.91132	0.0028015815690054418
323	#330000	323 - Briquettes; coke and semi-coke of coal,lignite or peat; retort carbon	-522.31714	-107.31142	0.0184732176585383
333	#330000	333 - Crude petroleum and oils obtained from bituminous minerals	-29.21817	-371.84518	-0.12530166532375575
334	#330000	334 - Petroleum products, refined	-62.259434	-354.42627	-0.09393296509303689
335	#330000	335 - Residual petroleum products, n.e.s. and related materials	-94.54923	-314.0941	-0.051152666510118315
341	#330000	341 - Gas, natural and manufactured	-542.6687	10.977253	-0.06282850849148583
351	#330000	351 - Electric current	-296.8284	-189.44373	0.05374990119005842
411	#ffc41c	411 - Animal oils and fats	179.27745	-211.55197	-0.01485510558270443
423	#ffc41c	423 - Fixed vegetable oils, 'soft', crude, refined or purified	608.831	436.0296	-0.0511932873468853
424	#ffc41c	424 - Other fixed vegetable oils, fluid or solid, crude, refined or purified	704.1576	295.25226	-0.09469092617516082
431	#ffc41c	431 - Animal and vegetable oils and fats, processed, and waxes of animal or vegetable origin	206.6214	-237.53653	-0.044841337372872915
511	#71144b	511 - Hydrocarbons, n.e.s., and their halogenated, sulphonated, nitrated or nitrosated derivatives	-145.88225	-236.38017	0.05213629625203237
512	#71144b	512 - Alcohols, phenols, phenol-alcohols, and their halogenated, sulphonated, nitrated or nitrosated derivatives	-167.8852	-147.7017	0.03020434504741313
513	#71144b	513 - Carboxylic acids, and their anhydrides, halides, peroxides and peracids, and their halogenated, sulphonated, nitrated or nitrosated derlvatlves	-55.362526	-134.88075	0.03912432304301628
514	#71144b	514 - Nitrogen-function compounds	-98.47069	-149.75266	0.06798508876507976
515	#71144b	515 - Organo-inorganic and heterocyclic compounds	-88.273285	-115.84434	0.05757654260388887
516	#71144b	516 - Other organic chemicals	-511.1709	-22.144857	0.05553011282291221
522	#71144b	522 - Inorganic chemical elements, oxides and halogen salts	39.290096	-205.29567	0.013456861084049686
523	#71144b	523 - Other inorganic chemicals; organic and inorganic compounds of precious metals	8.339012	-183.10721	0.02324385653850832
524	#71144b	524 - Radio-active and associated materials	-286.36002	-276.9735	0.020738977411677347
531	#71144b	531 - Synthetic organic dyestuffs, etc., natural indigo and colour lakes	-428.17407	-252.37003	0.06824883602673337
532	#71144b	532 - Dyeing and tanning extracts, and synthetic tanning materials	584.7106	-205.39856	-0.03304214429971824
533	#71144b	533 - Pigments, paints, varnishes and related materials	-175.67703	152.31999	0.06458809979415488
541	#71144b	541 - Medicinal and pharmaceutical products	-135.52551	84.78095	0.06439215105521201
551	#71144b	551 - Essential oils, perfume and flavour materials	659.8401	323.68015	-0.03811964960863627
553	#71144b	553 - Perfumery, cosmetics and toilet preparations (excluding soaps); aqueous distillates and aqueous solutions of essential oils (including such products suitable for medicinal uses)	-114.16679	278.085	0.037459344293851636
554	#71144b	554 - Soap, cleansing and polishing preparations	-349.41116	-140.99197	0.06568849085642774
562	#71144b	562 - Fertilizers, manufactured	73.95727	63.38038	0.038705728971432415
572	#71144b	572 - Explosives and pyrotechnic products	36.63082	32.75097	0.0456446287544804
582	#71144b	582 - Condensation, polycondensation and polyaddition products, whether or not modified or polymerized, and whether or not linear (e.g., phenoplasts, aminoplasts, alkyds, polyallyl esters and other unsaturated polyesters, silicones)	-400.64664	-49.59342	0.09339113622275302
583	#71144b	583 - Polymerization and copolymerization products (e.g., polyethylene, plytetrahaloethylenes, polyisobutylene, plystyrene, plyvinyl chloride, polyvinyl acetate, plyvinyl chloroacetate and other plyvinyl derivatives, plyacrylic and plymethacrylic derivatives, coumarone-indene resins)	-441.3417	-178.90385	0.10927321941483319
584	#71144b	584 - Regenerated cellulose; cellulose nitrate, cellulose acetate and other, cellulose esters, cellulose ethers and other chemical derivatives of cellulose, plasticized or not (e.g., collodions, celluloid); vulcanized fibre	-355.0061	-97.81716	0.09897594364966694
