year	metric1	metric2	corrcoef
1962	fitness	fitness	1.0
1962	fitness	diversity	0.838295358746049
1962	fitness	xc1	0.9139648548438203
1962	fitness	xc2	0.7602410828285013
1962	fitness	genepy	0.9776788413617006
1962	fitness	ability	0.5705361054195119
1962	fitness	fe	0.15851795858140327
1962	fitness	hc	0.6219317254875679
1962	fitness	avgrca_p	0.5906750606794416
1962	fitness	avgrca_m	0.778312200816886
1962	fitness	avgrca_c	0.7540169036965053
1962	fitness	proj_p	0.5957379591659938
1962	fitness	proj_m	0.5199472253187113
1962	fitness	proj_c	0.640535720203058
1962	fitness	eci	0.6549135765929368
1962	fitness	avgrca_p_1962	0.5906750606794416
1962	fitness	avgrca_m_1962	0.778312200816886
1962	fitness	avgrca_c_1962	0.7540169036965053
1962	fitness	proj_p_1962	0.5957379591659938
1962	fitness	proj_m_1962	0.5199472253187113
1962	fitness	proj_c_1962	0.640535720203058
1962	fitness	eci_1962	0.6549135765929368
1962	fitness	fitness_1962	0.9999999999999998
1962	fitness	x1d	0.9842878833003076
1962	fitness	x2divsqrtd	0.7571411736853407
1962	diversity	fitness	0.838295358746049
1962	diversity	diversity	1.0
1962	diversity	xc1	0.9031304657868328
1962	diversity	xc2	0.4051571317609243
1962	diversity	genepy	0.8144966959706585
1962	diversity	ability	0.8468182861317866
1962	diversity	fe	0.10829020148325154
1962	diversity	hc	0.9046676951841363
1962	diversity	avgrca_p	0.9087446932500668
1962	diversity	avgrca_m	0.9772650060719366
1962	diversity	avgrca_c	0.974532577936152
1962	diversity	proj_p	0.7440864588520216
1962	diversity	proj_m	0.6770175075447932
1962	diversity	proj_c	0.7681917962434388
1962	diversity	eci	0.7790220928717004
1962	diversity	avgrca_p_1962	0.9087446932500668
1962	diversity	avgrca_m_1962	0.9772650060719366
1962	diversity	avgrca_c_1962	0.974532577936152
1962	diversity	proj_p_1962	0.7440864588520216
1962	diversity	proj_m_1962	0.6770175075447932
1962	diversity	proj_c_1962	0.7681917962434388
1962	diversity	eci_1962	0.7790220928717004
1962	diversity	fitness_1962	0.838295358746049
1962	diversity	x1d	0.9059912926689324
1962	diversity	x2divsqrtd	0.6312245028648363
1962	xc1	fitness	0.9139648548438203
1962	xc1	diversity	0.9031304657868328
1962	xc1	xc1	1.0
1962	xc1	xc2	0.6291163006861972
1962	xc1	genepy	0.942670735121298
1962	xc1	ability	0.7677186251312216
1962	xc1	fe	0.21194115077444822
1962	xc1	hc	0.7654958035173894
1962	xc1	avgrca_p	0.7161793729330954
1962	xc1	avgrca_m	0.8975282761195649
1962	xc1	avgrca_c	0.8686248627919488
1962	xc1	proj_p	0.818892146524843
